County,Total Providers,Centers,Group Homes,Family Homes,Pct STAR Rated,Quality Tier,Children Under 5,Providers per 1k Children,Access Tier
Philadelphia,1729,1205,166,285,90.0,Well Rated (>75%),99102,17.4,Moderate (10–20)
Allegheny,720,488,59,65,82.4,Well Rated (>75%),63400,11.4,Moderate (10–20)
Montgomery,456,413,9,20,93.6,Well Rated (>75%),45276,10.1,Moderate (10–20)
Lehigh,354,161,17,154,88.1,Well Rated (>75%),21920,16.1,Moderate (10–20)
Delaware,334,263,29,25,91.0,Well Rated (>75%),32964,10.1,Moderate (10–20)
Bucks,297,258,5,8,88.9,Well Rated (>75%),30246,9.8,Low (5–10)
Chester,280,230,14,14,87.5,Well Rated (>75%),28684,9.8,Low (5–10)
Lancaster,222,146,19,35,88.3,Well Rated (>75%),34709,6.4,Low (5–10)
York,184,116,19,27,83.7,Well Rated (>75%),24856,7.4,Low (5–10)
Luzerne,178,108,30,9,79.2,Well Rated (>75%),17069,10.4,Moderate (10–20)
Berks,178,135,4,14,82.0,Well Rated (>75%),23656,7.5,Low (5–10)
Dauphin,166,122,13,23,90.4,Well Rated (>75%),17208,9.6,Low (5–10)
Westmoreland,141,90,5,7,71.6,Moderate (50-75%),15353,9.2,Low (5–10)
Erie,139,84,19,29,92.1,Well Rated (>75%),14328,9.7,Low (5–10)
Northampton,136,109,3,7,86.0,Well Rated (>75%),14769,9.2,Low (5–10)
Cumberland,118,100,3,9,89.0,Well Rated (>75%),13744,8.6,Low (5–10)
Lackawanna,115,67,3,5,63.5,Moderate (50-75%),11004,10.5,Moderate (10–20)
Lebanon,99,23,20,34,71.7,Moderate (50-75%),8170,12.1,Moderate (10–20)
Washington,88,58,2,5,73.9,Moderate (50-75%),10343,8.5,Low (5–10)
Centre,81,52,4,12,82.7,Well Rated (>75%),5749,14.1,Moderate (10–20)
Butler,80,54,6,8,83.8,Well Rated (>75%),9457,8.5,Low (5–10)
Franklin,76,32,5,21,73.7,Moderate (50-75%),8783,8.7,Low (5–10)
Monroe,74,65,1,3,87.8,Well Rated (>75%),7790,9.5,Low (5–10)
Beaver,73,45,3,5,71.2,Moderate (50-75%),8161,8.9,Low (5–10)
Blair,72,43,7,3,72.2,Moderate (50-75%),6134,11.7,Moderate (10–20)
Mercer,61,19,10,9,57.4,Moderate (50-75%),5273,11.6,Moderate (10–20)
Cambria,58,38,9,3,84.5,Well Rated (>75%),6329,9.2,Low (5–10)
Fayette,53,32,3,0,62.3,Moderate (50-75%),6422,8.3,Low (5–10)
Schuylkill,53,33,11,4,90.6,Well Rated (>75%),6870,7.7,Low (5–10)
Adams,52,22,4,13,69.2,Moderate (50-75%),4951,10.5,Moderate (10–20)
Lycoming,51,36,2,6,76.5,Well Rated (>75%),6016,8.5,Low (5–10)
Clearfield,49,11,10,9,61.2,Moderate (50-75%),3633,13.5,Moderate (10–20)
Lawrence,45,25,3,1,62.2,Moderate (50-75%),4353,10.3,Moderate (10–20)
Northumberland,40,19,10,3,80.0,Well Rated (>75%),4557,8.8,Low (5–10)
Crawford,39,25,2,5,79.5,Well Rated (>75%),4463,8.7,Low (5–10)
Somerset,35,15,8,1,68.6,Moderate (50-75%),3406,10.3,Moderate (10–20)
Armstrong,31,15,3,5,64.5,Moderate (50-75%),2982,10.4,Moderate (10–20)
Bradford,31,15,1,3,61.3,Moderate (50-75%),3408,9.1,Low (5–10)
Tioga,30,16,1,5,73.3,Moderate (50-75%),2067,14.5,Moderate (10–20)
Columbia,29,18,0,4,75.9,Well Rated (>75%),2813,10.3,Moderate (10–20)
Wayne,27,15,3,4,77.8,Well Rated (>75%),2077,13.0,Moderate (10–20)
Huntingdon,27,5,5,4,48.1,Low Rated (25-50%),1923,14.0,Moderate (10–20)
Carbon,25,22,0,1,92.0,Well Rated (>75%),2975,8.4,Low (5–10)
Indiana,25,11,5,4,80.0,Well Rated (>75%),3794,6.6,Low (5–10)
