county,total_providers,providers_with_cap,total_capacity,county_fips,fips,type_center,type_group_home,type_family_home,type_other_resource,star_star_4,star_star_3,star_star_2,star_star_1,star_unrated,pct_rated,children_under5,total_population,providers_per_1k,access_tier,quality_tier
Philadelphia,1729,1528,81924,101,42101,1205,166,285,73,445,62,385,664,173,90.0,99102,1593208,17.4,Moderate (10–20),Well Rated (>75%)
Allegheny,720,529,39433,3,42003,488,59,65,108,157,7,97,332,127,82.4,63400,1245310,11.4,Moderate (10–20),Well Rated (>75%)
Montgomery,456,358,39140,91,42091,413,9,20,14,117,13,76,221,29,93.6,45276,856399,10.1,Moderate (10–20),Well Rated (>75%)
Lehigh,354,320,16057,77,42077,161,17,154,22,86,15,71,140,42,88.1,21920,374110,16.1,Moderate (10–20),Well Rated (>75%)
Delaware,334,278,20727,45,42045,263,29,25,17,67,4,17,216,30,91.0,32964,575312,10.1,Moderate (10–20),Well Rated (>75%)
Bucks,297,212,22444,17,42017,258,5,8,26,123,6,35,100,33,88.9,30246,645163,9.8,Low (5–10),Well Rated (>75%)
Chester,280,201,20380,29,42029,230,14,14,22,53,10,49,133,35,87.5,28684,536474,9.8,Low (5–10),Well Rated (>75%)
Lancaster,222,156,11371,71,42071,146,19,35,22,64,7,24,101,26,88.3,34709,553202,6.4,Low (5–10),Well Rated (>75%)
York,184,134,10761,133,42133,116,19,27,22,36,10,46,62,30,83.7,24856,457051,7.4,Low (5–10),Well Rated (>75%)
Luzerne,178,140,10544,79,42079,108,30,9,31,58,6,20,57,37,79.2,17069,325396,10.4,Moderate (10–20),Well Rated (>75%)
Berks,178,132,11687,11,42011,135,4,14,25,49,5,30,62,32,82.0,23656,428483,7.5,Low (5–10),Well Rated (>75%)
Dauphin,166,139,12509,43,42043,122,13,23,8,30,13,32,75,16,90.4,17208,286108,9.6,Low (5–10),Well Rated (>75%)
Westmoreland,141,86,7222,129,42129,90,5,7,39,39,4,11,47,40,71.6,15353,354414,9.2,Low (5–10),Moderate (50-75%)
Erie,139,129,8562,49,42049,84,19,29,7,59,8,17,44,11,92.1,14328,270495,9.7,Low (5–10),Well Rated (>75%)
Northampton,136,103,9318,95,42095,109,3,7,17,33,7,22,55,19,86.0,14769,314299,9.2,Low (5–10),Well Rated (>75%)
Cumberland,118,85,8547,41,42041,100,3,9,6,35,2,11,57,13,89.0,13744,261269,8.6,Low (5–10),Well Rated (>75%)
Lackawanna,115,75,6383,69,42069,67,3,5,40,34,4,3,32,42,63.5,11004,215672,10.5,Moderate (10–20),Moderate (50-75%)
Lebanon,99,73,2431,75,42075,23,20,34,22,23,3,13,32,28,71.7,8170,143258,12.1,Moderate (10–20),Moderate (50-75%)
Washington,88,60,4781,125,42125,58,2,5,23,25,4,4,32,23,73.9,10343,209631,8.5,Low (5–10),Moderate (50-75%)
Centre,81,53,4413,27,42027,52,4,12,13,21,4,3,39,14,82.7,5749,158665,14.1,Moderate (10–20),Well Rated (>75%)
Butler,80,64,5055,19,42019,54,6,8,12,17,0,12,38,13,83.8,9457,194562,8.5,Low (5–10),Well Rated (>75%)
Franklin,76,47,2444,55,42055,32,5,21,18,6,0,8,42,20,73.7,8783,156084,8.7,Low (5–10),Moderate (50-75%)
Monroe,74,63,4866,89,42089,65,1,3,5,23,4,8,30,9,87.8,7790,168128,9.5,Low (5–10),Well Rated (>75%)
Beaver,73,49,3433,7,42007,45,3,5,20,15,1,13,23,21,71.2,8161,167629,8.9,Low (5–10),Moderate (50-75%)
Blair,72,48,3619,13,42013,43,7,3,19,17,2,15,18,20,72.2,6134,122640,11.7,Moderate (10–20),Moderate (50-75%)
Mercer,61,38,1999,85,42085,19,10,9,23,9,1,5,20,26,57.4,5273,110600,11.6,Moderate (10–20),Moderate (50-75%)
Cambria,58,47,2751,21,42021,38,9,3,8,20,4,8,17,9,84.5,6329,133263,9.2,Low (5–10),Well Rated (>75%)
Fayette,53,34,2044,51,42051,32,3,0,18,11,0,4,18,20,62.3,6422,128417,8.3,Low (5–10),Moderate (50-75%)
Schuylkill,53,46,2563,107,42107,33,11,4,5,14,2,13,19,5,90.6,6870,143201,7.7,Low (5–10),Well Rated (>75%)
Adams,52,35,1690,1,42001,22,4,13,13,8,0,6,22,16,69.2,4951,104604,10.5,Moderate (10–20),Moderate (50-75%)
Lycoming,51,32,2644,81,42081,36,2,6,7,14,2,9,14,12,76.5,6016,114022,8.5,Low (5–10),Well Rated (>75%)
Clearfield,49,30,1080,33,42033,11,10,9,19,10,1,6,13,19,61.2,3633,79707,13.5,Moderate (10–20),Moderate (50-75%)
Lawrence,45,29,2255,73,42073,25,3,1,16,9,3,7,9,17,62.2,4353,85907,10.3,Moderate (10–20),Moderate (50-75%)
Northumberland,40,31,1782,97,42097,19,10,3,8,5,1,7,19,8,80.0,4557,91340,8.8,Low (5–10),Well Rated (>75%)
Crawford,39,32,1797,39,42039,25,2,5,7,20,4,4,3,8,79.5,4463,83876,8.7,Low (5–10),Well Rated (>75%)
Somerset,35,23,1274,111,42111,15,8,1,11,4,1,4,15,11,68.6,3406,73802,10.3,Moderate (10–20),Moderate (50-75%)
Armstrong,31,23,966,5,42005,15,3,5,8,4,0,6,10,11,64.5,2982,65538,10.4,Moderate (10–20),Moderate (50-75%)
Bradford,31,18,1520,15,42015,15,1,3,12,9,1,1,8,12,61.3,3408,60159,9.1,Low (5–10),Moderate (50-75%)
Tioga,30,21,959,117,42117,16,1,5,8,15,0,2,5,8,73.3,2067,41186,14.5,Moderate (10–20),Moderate (50-75%)
Columbia,29,21,1508,37,42037,18,0,4,7,6,1,7,8,7,75.9,2813,64924,10.3,Moderate (10–20),Well Rated (>75%)
Wayne,27,21,857,127,42127,15,3,4,5,4,1,1,15,6,77.8,2077,51227,13.0,Moderate (10–20),Well Rated (>75%)
Huntingdon,27,14,428,61,42061,5,5,4,13,2,0,4,7,14,48.1,1923,44123,14.0,Moderate (10–20),Low Rated (25-50%)
Carbon,25,23,1377,25,42025,22,0,1,2,13,1,1,8,2,92.0,2975,65018,8.4,Low (5–10),Well Rated (>75%)
Indiana,25,20,989,63,42063,11,5,4,5,10,0,1,9,5,80.0,3794,83394,6.6,Low (5–10),Well Rated (>75%)
Bedford,24,17,699,9,42009,10,3,4,7,11,0,4,2,7,70.8,2378,47613,10.1,Moderate (10–20),Moderate (50-75%)
Greene,23,14,374,59,42059,3,2,9,9,2,0,1,11,9,60.9,1748,35781,13.2,Moderate (10–20),Moderate (50-75%)
Jefferson,20,11,622,65,42065,7,3,1,9,2,1,2,5,10,50.0,2439,44326,8.2,Low (5–10),Low Rated (25-50%)
Susquehanna,19,14,463,115,42115,6,6,2,5,2,0,0,11,6,68.4,1803,38540,10.5,Moderate (10–20),Moderate (50-75%)
Mckean,19,10,599,83,42083,7,1,2,9,5,0,1,1,12,36.8,1887,40459,10.1,Moderate (10–20),Low Rated (25-50%)
Elk,19,13,511,47,42047,6,0,7,6,4,2,3,4,6,68.4,1430,30886,13.3,Moderate (10–20),Moderate (50-75%)
Snyder,18,10,483,109,42109,7,3,2,6,3,0,2,6,7,61.1,2087,39797,8.6,Low (5–10),Moderate (50-75%)
Clarion,18,8,403,31,42031,6,2,0,10,2,0,0,5,11,38.9,1877,37489,9.6,Low (5–10),Low Rated (25-50%)
Mifflin,18,12,655,87,42087,7,2,4,5,5,1,3,2,7,61.1,2962,46146,6.1,Low (5–10),Moderate (50-75%)
Pike,17,9,696,103,42103,10,0,1,6,5,0,2,4,6,64.7,2122,58996,8.0,Low (5–10),Moderate (50-75%)
Venango,17,15,1455,121,42121,10,2,3,2,9,1,1,4,2,88.2,2456,50475,6.9,Low (5–10),Well Rated (>75%)
Perry,16,13,594,99,42099,11,2,2,1,4,1,3,7,1,93.8,2490,45941,6.4,Low (5–10),Well Rated (>75%)
Warren,16,11,707,123,42123,8,0,3,5,2,1,2,6,5,68.8,1987,38492,8.1,Low (5–10),Moderate (50-75%)
Clinton,14,9,774,35,42035,10,1,1,2,5,1,0,6,2,85.7,2048,37860,6.8,Low (5–10),Well Rated (>75%)
Montour,11,9,907,93,42093,8,0,2,1,6,0,1,3,1,90.9,1058,18165,10.4,Moderate (10–20),Well Rated (>75%)
Wyoming,11,4,250,131,42131,3,0,1,7,1,0,0,3,7,36.4,1212,26219,9.1,Low (5–10),Low Rated (25-50%)
Union,10,6,563,119,42119,8,1,0,1,3,0,3,2,2,80.0,1896,42908,5.3,Low (5–10),Well Rated (>75%)
Juniata,8,2,91,67,42067,1,1,0,6,1,0,1,0,6,25.0,1364,23535,5.9,Low (5–10),Mostly Unrated (<25%)
Fulton,6,4,129,57,42057,3,0,1,2,0,2,1,1,2,66.7,691,14545,8.7,Low (5–10),Moderate (50-75%)
Potter,5,3,232,105,42105,2,0,1,2,0,0,2,0,3,40.0,803,16390,6.2,Low (5–10),Low Rated (25-50%)
Cameron,4,2,72,23,42023,1,0,1,2,1,0,0,1,2,50.0,199,4536,20.1,High (>20),Low Rated (25-50%)
Forest,3,0,0,53,42053,0,0,0,3,0,0,0,0,3,0.0,278,6959,10.8,Moderate (10–20),Mostly Unrated (<25%)
Sullivan,2,2,62,113,42113,2,0,0,0,1,0,0,1,0,100.0,169,5880,11.8,Moderate (10–20),Well Rated (>75%)
