name,county,county_fips,provider_type,star_tier,capacity,lat,lon,city,star_raw,pre_k,head_start_supp,early_head_start,head_start,school_age,school_district,house_district,senate_district,fips
BRIDGESIDE ESTATE,Lehigh,77,Other / Resource,Unrated,,40.59843,-75.46866,ALLENTOWN,No STAR Level,No,Yes,No,Yes,No,Allentown City SD,134,14,42077
NOELL CENTER,York,133,Other / Resource,Unrated,,39.95937,-76.72091,YORK,No STAR Level,Yes,Yes,No,Yes,No,York City SD,95,31,42133
Saint Marys,Elk,47,Other / Resource,Unrated,,41.42183,-78.55597,SAINT MARYS,No STAR Level,No,No,No,Yes,No,Saint Marys Area SD,75,25,42047
HARDING ELEMENTARY SCHOOL,Lebanon,75,Other / Resource,Unrated,,40.33823,-76.4214,LEBANON,No STAR Level,Yes,Yes,No,Yes,No,Lebanon SD,101,48,42075
COLLABORATIVE COMMUNITY SERVICES,Mercer,85,Other / Resource,Unrated,,41.22251,-80.49698,SHARON,No STAR Level,Yes,Yes,No,Yes,No,Sharon City SD,7,50,42085
SHAMILA BARRY FAMILY CHILD CARE HOME,Franklin,55,Family Home,STAR 1,6.0,39.92455,-77.63472,CHAMBERSBURG,STAR 1,No,No,No,No,No,Chambersburg Area SD,89,33,42055
ANAS DAYCARE,Lebanon,75,Family Home,STAR 1,6.0,40.34763,-76.43072,LEBANON,STAR 1,No,No,No,No,Yes,Lebanon SD,101,48,42075
RANGES HELPING HANDS,Erie,49,Family Home,STAR 1,6.0,42.1032,-80.06646,ERIE,STAR 1,No,No,No,No,Yes,Erie City SD,2,49,42049
St Paul,Westmoreland,129,Other / Resource,Unrated,,40.29203,-79.55874,GREENSBURG,No STAR Level,Yes,Yes,No,Yes,No,Hempfield Area SD,57,39,42129
WINGATE CHILD AND FAMILY CENTER,Centre,27,Other / Resource,Unrated,,40.93575,-77.81168,BELLEFONTE,No STAR Level,No,No,No,Yes,No,Bald Eagle Area SD,82,25,42027
DILWORTH CENTER,Allegheny,3,Other / Resource,Unrated,,40.46863,-79.9172,PITTSBURGH,No STAR Level,Yes,No,No,Yes,No,Pittsburgh SD,24,38,42003
CHILDWORKS,Montgomery,91,Center,STAR 4,60.0,,,KULPSVILLE,STAR 4– ACC ,No,No,No,No,No,North Penn SD,61,24,42091
Athens SRU,Bradford,15,Other / Resource,Unrated,,41.861,-76.62537,EAST SMITHFIELD,No STAR Level,Yes,Yes,No,Yes,No,Athens Area SD,68,23,42015
ACCLAIM ACADEMY,Philadelphia,101,Center,STAR 4,187.0,40.03545,-75.17426,PHILADELPHIA,STAR 4,No,No,No,No,Yes,Philadelphia City SD,201,4,42101
JAZMINS DAY CARE,Lancaster,71,Family Home,STAR 1,6.0,40.02025,-76.31378,LANCASTER,STAR 1,No,No,No,No,No,Lancaster SD,49,13,42071
ONCE UPON A TIME,Luzerne,79,Center,STAR 4,83.0,41.32182,-75.9141,SHAVERTOWN,STAR 4,No,No,No,No,Yes,Dallas SD,120,20,42079
RIDGWAY CENTER,Elk,47,Other / Resource,Unrated,,41.42133,-78.72782,RIDGWAY,No STAR Level,No,No,No,Yes,No,Ridgway Area SD,75,25,42047
NEW KEN,Westmoreland,129,Other / Resource,Unrated,,40.56425,-79.76313,NEW KENSINGTON,No STAR Level,No,Yes,No,Yes,No,New Kensington-Arnold SD,55,41,42129
Mansfield Head Start,Tioga,117,Other / Resource,Unrated,,41.80497,-77.07792,MANSFIELD,No STAR Level,No,Yes,No,Yes,No,Southern Tioga SD,68,23,42117
FIRST CHOICE CHILD CARE OF HUNTINGDON,Huntingdon,61,Group Home,Unrated,74.0,40.48295,-78.01972,HUNTINGDON,No STAR Level,No,No,No,Yes,No,Huntingdon Area SD,81,30,42061
LA SALLE ACADEMY,Berks,11,Center,STAR 1,36.0,40.29537,-75.97492,READING,STAR 1,No,No,No,No,No,Governor Mifflin SD,127,11,42011
LIGHT OF MINE LLC,Montgomery,91,Center,STAR 1,67.0,40.26315,-75.25892,COLMAR,STAR 1,No,No,No,No,No,North Penn SD,53,12,42091
York Haven,York,133,Other / Resource,Unrated,,40.10705,-76.71893,MANCHESTER,No STAR Level,No,Yes,No,Yes,No,Northeastern York SD,92,31,42133
DYNAMITE DAYCARE,Allegheny,3,Center,STAR 4,69.0,40.60292,-79.75314,TARENTUM,STAR 4,No,No,No,No,Yes,Highlands SD,33,38,42003
LEBANON HEAD START - NARROWS,Lebanon,75,Other / Resource,Unrated,,40.36128,-76.37767,LEBANON,No STAR Level,No,Yes,No,Yes,No,Cornwall-Lebanon SD,101,48,42075
Kennett Square,Chester,29,Other / Resource,Unrated,,39.84161,-75.71432,KENNETT SQUARE,No STAR Level,No,No,No,Yes,No,Kennett Consolidated SD,158,9,42029
ECONOMY,Beaver,7,Other / Resource,Unrated,,40.66404,-80.213,FREEDOM,No STAR Level,No,No,Yes,Yes,No,Freedom Area SD,14,47,42007
ST GEORGE,Delaware,45,Other / Resource,Unrated,,39.90071,-75.28576,GLENOLDEN,No STAR Level,No,Yes,No,Yes,No,Interboro SD,162,26,42045
Tunkhannock Center,Wyoming,131,Other / Resource,Unrated,,41.54195,-75.95474,TUNKHANNOCK,No STAR Level,No,No,No,Yes,No,Tunkhannock Area SD,110,20,42131
Mansfield 2 Blossburg Elementary School,Tioga,117,Other / Resource,Unrated,,41.67954,-77.06262,BLOSSBURG,No STAR Level,No,Yes,No,Yes,No,Southern Tioga SD,68,23,42117
THE CATERPILLAR CLUBHOUSE LLC,Adams,1,Center,STAR 1,105.0,39.78591,-77.37097,FAIRFIELD,STAR 1,No,No,No,No,Yes,Fairfield Area SD,91,33,42001
JOSEFINA RODRIGUEZ,Lebanon,75,Family Home,STAR 1,6.0,40.34562,-76.4261,LEBANON,STAR 1,No,No,No,No,No,Lebanon SD,101,48,42075
NEW ARISENS CHILDCARE SOLUTIONS LLC,Philadelphia,101,Center,STAR 4,160.0,40.00909,-75.08553,PHILADELPHIA,STAR 4,No,No,No,No,Yes,Philadelphia City SD,179,2,42101
TICKLEZ AND GIGGLEZ LLC,Philadelphia,101,Group Home,STAR 4,12.0,40.01272,-75.08673,PHILADELPHIA,STAR 4,No,No,No,No,Yes,Philadelphia City SD,179,2,42101
KIRRA ERWIN,Philadelphia,101,Family Home,STAR 2,6.0,39.97104,-75.25074,PHILADELPHIA,STAR 2,No,No,No,No,Yes,Philadelphia City SD,192,7,42101
THE GODDARD SCHOOL OF EAST NORRITON,Montgomery,91,Center,STAR 2,116.0,40.15229,-75.34943,NORRISTOWN,STAR 2,No,No,No,No,No,Norristown Area SD,70,17,42091
THE ULTIMATE LEARNING ACADEMY,Philadelphia,101,Center,STAR 4,31.0,39.95682,-75.244,PHILADELPHIA,STAR 4,No,No,No,No,Yes,Philadelphia City SD,191,8,42101
U-GRO LEARNING CENTRES,Lebanon,75,Center,Unrated,166.0,40.31464,-76.41698,LEBANON,No STAR Level,No,No,No,No,No,Cornwall-Lebanon SD,101,48,42075
FLORA E STONER FAMILY CHILD CARE HOME,Franklin,55,Family Home,STAR 2,6.0,39.81816,-77.75183,GREENCASTLE,STAR 2,No,No,No,No,No,Greencastle-Antrim SD,90,33,42055
CHERYL YERK FCCH,Bucks,17,Family Home,STAR 1,6.0,40.43297,-75.39818,QUAKERTOWN,STAR 1,No,No,No,No,No,Quakertown Community SD,145,16,42017
LET ME GROW ACADEMY LLC,Philadelphia,101,Center,STAR 4,44.0,40.02152,-75.12003,PHILADELPHIA,STAR 4,No,No,No,No,Yes,Philadelphia City SD,197,3,42101
THE SALVATION ARMY LEARNING ZONE,Philadelphia,101,Center,STAR 1,287.0,39.96813,-75.16006,PHILADELPHIA,STAR 1,No,No,No,No,Yes,Philadelphia City SD,181,3,42101
JITB JRS ARROW AT THE GATE II,Philadelphia,101,Center,STAR 4,88.0,40.05928,-75.08608,PHILADELPHIA,STAR 4,No,No,No,No,Yes,Philadelphia City SD,203,2,42101
PROJECT OF EASTON INC,Northampton,95,Center,STAR 2,60.0,40.68926,-75.21058,EASTON,STAR 2,No,No,No,No,No,Easton Area SD,136,18,42095
BLESSED ASSURANCE HOME BASE CHILD CARE,Allegheny,3,Group Home,STAR 1,12.0,40.46824,-79.85836,PITTSBURGH,STAR 1,No,No,No,No,Yes,Penn Hills SD,32,43,42003
WICKERSHAM ELEMENTARY SCHOOL,Lancaster,71,Center,STAR 4,,40.04583,-76.29044,LANCASTER,STAR 4,No,No,No,No,Yes,Lancaster SD,96,13,42071
TERESA ROBINSON FAMILY CHILD CARE HOME,Philadelphia,101,Family Home,STAR 2,6.0,40.01861,-75.1525,PHILADELPHIA,STAR 2,No,No,No,No,Yes,Philadelphia City SD,198,3,42101
Lenes Daily Child Care IV,Philadelphia,101,Center,STAR 1,77.0,39.96093,-75.22469,PHILADELPHIA,STAR 1,No,No,No,No,No,Philadelphia City SD,10,7,42101
LITTLE SCHOLARS OF THE FUTURE LEARNING ACADEMY 2,Philadelphia,101,Group Home,STAR 1,12.0,39.9818,-75.18205,PHILADELPHIA,STAR 1,No,No,No,No,Yes,Philadelphia City SD,195,3,42101
YMCA SACC DERRY TWP,Dauphin,43,Center,STAR 1,,40.2825,-76.64196,HERSHEY,STAR 1,No,No,No,No,Yes,Derry Township SD,106,15,42043
PROLIFIC YOUNG TREASURES CHILDCARE LRNG CTR LLC,Philadelphia,101,Center,STAR 2,40.0,40.0605,-75.08214,PHILADELPHIA,STAR 2,No,No,No,No,Yes,Philadelphia City SD,203,2,42101
NOAHS ARK,Bucks,17,Center,Unrated,198.0,40.36124,-75.33937,SELLERSVILLE,No STAR Level,No,No,No,No,No,Pennridge SD,145,16,42017
CHILDREN OF THE FUTURE LEARNING CENTER LLC,Philadelphia,101,Center,STAR 2,23.0,39.97463,-75.26139,PHILADELPHIA,STAR 2,No,No,No,No,Yes,Philadelphia City SD,192,7,42101
ADVENTURE AWAITS LEARNING CENTER LLC,Clarion,31,Center,STAR 1,45.0,41.23551,-79.53805,KNOX,STAR 1,No,No,No,No,Yes,Keystone SD,63,21,42031
EXTRAORDINARY CARE,Philadelphia,101,Family Home,STAR 2,6.0,40.02527,-75.13404,PHILADELPHIA,STAR 2,No,No,No,No,Yes,Philadelphia City SD,197,3,42101
RENEE STEVENSON,Philadelphia,101,Family Home,STAR 1,6.0,39.90332,-75.2477,PHILADELPHIA,STAR 1,No,No,No,No,Yes,Philadelphia City SD,185,8,42101
JENNY BANEY FAMILY HOME CHILDCARE,Northumberland,97,Group Home,STAR 2,12.0,40.86431,-76.79263,SUNBURY,STAR 2,No,No,No,No,Yes,Shikellamy SD,108,27,42097
RAS AT ROBERTS ELEMENTARY SCHOOL,Montgomery,91,Center,STAR 1,,40.07436,-75.3862,WAYNE,STAR 1,No,No,No,No,Yes,Upper Merion Area SD,149,17,42091
THE RAINBOW CONNECTION LEARNING CENTER LLC,Somerset,111,Center,STAR 1,127.0,40.09831,-79.08952,SIPESVILLE,STAR 1,No,No,No,No,Yes,Somerset Area SD,69,32,42111
BIRDS OF A FEATHER JUNIOR ACADEMY,Philadelphia,101,Center,STAR 3,51.0,39.95942,-75.23262,PHILADELPHIA,STAR 3,No,No,No,No,Yes,Philadelphia City SD,10,8,42101
ELEVATING HORIZONS LEARNING ACADEMY,Philadelphia,101,Center,STAR 1,22.0,40.02646,-75.12187,PHILADELPHIA,STAR 1,No,No,No,No,Yes,Philadelphia City SD,179,3,42101
TREASURED TIMES LEARNING CENTER,Cambria,21,Center,STAR 4,108.0,40.48498,-78.73326,EBENSBURG,STAR 4,No,No,No,No,Yes,Central Cambria SD,72,35,42021
AMAZING KIDZ ACADEMY,Philadelphia,101,Center,Unrated,54.0,40.05555,-75.14107,PHILADELPHIA,No STAR Level,No,No,No,No,No,Philadelphia City SD,198,4,42101
STEPPING STONES AT CVE,Butler,19,Center,STAR 4,,40.79298,-80.12701,ZELIENOPLE,STAR 4,No,No,No,No,Yes,Seneca Valley SD,12,47,42019
BETHANY CHILDRENS HOUSE MONTESSORI PRESCHOOL,Wayne,127,Center,STAR 1,41.0,41.57354,-75.25508,HONESDALE,STAR 1,No,No,No,No,No,Wayne Highlands SD,111,40,42127
TINY TOT CHILD DEVELOPMENT CENTER,Beaver,7,Center,STAR 4,169.0,40.70271,-80.28612,ROCHESTER,STAR 4,Yes,No,No,No,No,Rochester Area SD,16,47,42007
STEPHANIE J REYES FAMILY DAYCARE,Lehigh,77,Family Home,STAR 1,6.0,40.60196,-75.48766,ALLENTOWN,STAR 1,No,No,No,No,Yes,Allentown City SD,22,14,42077
Sunbury YMCA Day Care Center,Northumberland,97,Center,STAR 4,190.0,40.87379,-76.78374,SUNBURY,STAR 4,No,No,No,No,Yes,Shikellamy SD,108,27,42097
KENNETT YMCA AT UNIONVILLE ELEMENTARY,Chester,29,Center,STAR 2,,,,UNIONVILLE,STAR 2,No,No,No,No,Yes,Unionville-Chadds Ford SD,158,9,42029
JACOBS LADDER CLC INC,Delaware,45,Center,STAR 1,30.0,39.94749,-75.25996,UPPER DARBY,STAR 1,No,No,No,No,Yes,Upper Darby SD,164,26,42045
RIGHT AT SCHOOL AT FORT WASHINGTON ELEMENTARY,Montgomery,91,Center,STAR 1,,40.14787,-75.20164,MAPLE GLEN,STAR 1,No,No,No,No,Yes,Upper Dublin SD,153,12,42091
CHILDRENS CHRISTIAN GROUP HOME DAY CARE,Allegheny,3,Center,STAR 1,25.0,40.46071,-79.86396,PITTSBURGH,STAR 1,No,No,No,No,Yes,Penn Hills SD,32,43,42003
MS LESLIES WIGGLES AND GIGGLES,Philadelphia,101,Center,STAR 2,114.0,40.05918,-75.16525,PHILADELPHIA,STAR 2,No,No,No,No,Yes,Philadelphia City SD,200,4,42101
LITTLE STARS LEARNING ACADEMY LLC,Bradford,15,Center,STAR 4,87.0,41.98039,-76.51698,SAYRE,STAR 4,No,No,No,No,Yes,Sayre Area SD,110,23,42015
LHH LEARN & PLAY CHILDCARE INC,Carbon,25,Center,STAR 4,70.0,40.83775,-75.71427,LEHIGHTON,STAR 4,No,No,No,No,Yes,Lehighton Area SD,122,29,42025
NORTH PENN EXTENDED GWYNEDD SQUARE ELEM SCHOOL,Montgomery,91,Center,STAR 2,,40.22252,-75.30981,LANSDALE,STAR 2,No,No,No,No,Yes,North Penn SD,61,24,42091
THE LEARNING TRAIN ACADEMY,Philadelphia,101,Center,STAR 1,26.0,39.94386,-75.17364,PHILADELPHIA,STAR 1,No,No,No,No,No,Philadelphia City SD,182,1,42101
TOGETHER WE GROW AND PROSPER LEARNING CTR,Philadelphia,101,Center,STAR 3,122.0,39.97284,-75.25474,PHILADELPHIA,STAR 3,No,No,No,No,Yes,Philadelphia City SD,192,7,42101
SONIAS LITTLE ANGELS INC,Lehigh,77,Family Home,STAR 4,6.0,40.61209,-75.47538,ALLENTOWN,STAR 4,No,No,No,No,Yes,Allentown City SD,22,14,42077
GRAHAM CRACKERS CDLC LLC,Philadelphia,101,Group Home,STAR 4,11.0,40.02128,-75.15677,PHILADELPHIA,STAR 4,Yes,No,No,No,Yes,Philadelphia City SD,198,3,42101
Hansel and Gretel Early Learning Center,Dauphin,43,Center,STAR 4,127.0,40.28435,-76.80841,HARRISBURG,STAR 4,Yes,No,No,No,Yes,Central Dauphin SD,105,15,42043
NATIAS QUALITY CHILDCARE,Philadelphia,101,Family Home,STAR 1,6.0,39.97918,-75.25316,PHILADELPHIA,STAR 1,No,No,No,No,Yes,Philadelphia City SD,192,7,42101
